ADNI Name,KARI Amyloid Name,KARI Tau Name
Left-Accumbens-Area,av45_fsuvr_l_accumbens,av1451_fsuvr_l_accumbens
Left-Amygdala,av45_fsuvr_l_amygdala,av1451_fsuvr_l_amygdala
Left-Caudate,av45_fsuvr_l_caud,av1451_fsuvr_l_caud
Left-Choroid-Plexus,av45_fsuvr_l_chorplex,av1451_fsuvr_l_chorplex
Left-Hippocampus,av45_fsuvr_l_hippocampus,av1451_fsuvr_l_hippocampus
Left-Pallidum,av45_fsuvr_l_pallidum,av1451_fsuvr_l_pallidum
Left-Putamen,av45_fsuvr_l_putamen,av1451_fsuvr_l_putamen
Left-Thalamus,av45_fsuvr_l_thalamus,av1451_fsuvr_l_thalamus
Left-VentralDC,av45_fsuvr_l_ventraldc,av1451_fsuvr_l_ventraldc
Right-Accumbens-Area,av45_fsuvr_r_accumbens,av1451_fsuvr_r_accumbens
Right-Amygdala,av45_fsuvr_r_amygdala,av1451_fsuvr_r_amygdala
Right-Caudate,av45_fsuvr_r_caud,av1451_fsuvr_r_caud
Right-Choroid-Plexus,av45_fsuvr_r_chorplex,av1451_fsuvr_r_chorplex
Right-Hippocampus,av45_fsuvr_r_hippocampus,av1451_fsuvr_r_hippocampus
Right-Pallidum,av45_fsuvr_r_pallidum,av1451_fsuvr_r_pallidum
Right-Putamen,av45_fsuvr_r_putamen,av1451_fsuvr_r_putamen
Right-Thalamus,av45_fsuvr_r_thalamus,av1451_fsuvr_r_thalamus
Right-VentralDC,av45_fsuvr_r_ventraldc,av1451_fsuvr_r_ventraldc
Brain-Stem,av45_fsuvr_tot_brainstem,av1451_fsuvr_tot_brainstem
CC_Anterior,av45_fsuvr_crpclm_ant,av1451_fsuvr_crpclm_ant
CC_Central,av45_fsuvr_crpclm_cntrl,av1451_fsuvr_crpclm_cntrl
CC_Mid_Anterior,av45_fsuvr_crpclm_mid_ant,av1451_fsuvr_crpclm_mid_ant
CC_Mid_Posterior,av45_fsuvr_crpclm_mid_post,av1451_fsuvr_crpclm_mid_post
CC_Posterior,av45_fsuvr_crpclm_post,av1451_fsuvr_crpclm_post