ggseg MRI,KARI MRI
caudalanteriorcingulate_left,MR_LV_CAUDANTCNG
caudalanteriorcingulate_right,MR_RV_CAUDANTCNG
caudalmiddlefrontal_left,MR_LV_CAUDMIDFRN
caudalmiddlefrontal_right,MR_RV_CAUDMIDFRN
cuneus_left,MR_LV_CUNEUS
cuneus_right,MR_RV_CUNEUS
entorhinal_left,MR_LV_ENTORHINAL
entorhinal_right,MR_RV_ENTORHINAL
frontalpole_left,MR_LV_FRNPOLE
frontalpole_right,MR_RV_FRNPOLE
fusiform_left,MR_LV_FUSIFORM
fusiform_right,MR_RV_FUSIFORM
inferiorparietal_left,MR_LV_INFRPRTL
inferiorparietal_right,MR_RV_INFRPRTL
inferiortemporal_left,MR_LV_INFRTMP 
inferiortemporal_right,MR_RV_INFRTMP 
insula_left,MR_LV_INSULA
insula_right,MR_RV_INSULA
isthmuscingulate_left,MR_LV_ISTHMUSCNG
isthmuscingulate_right,MR_RV_ISTHMUSCNG
lateraloccipital_left,MR_LV_LATOCC
lateraloccipital_right,MR_RV_LATOCC
lateralorbitofrontal_left,MR_LV_LATORBFRN
lateralorbitofrontal_right,MR_RV_LATORBFRN
lingual_left,MR_LV_LINGUAL
lingual_right,MR_RV_LINGUAL
medialorbitofrontal_left,MR_LV_MEDORBFRN
medialorbitofrontal_right,MR_RV_MEDORBFRN
middletemporal_left,MR_LV_MIDTMP
middletemporal_right,MR_RV_MIDTMP
paracentral_left,MR_LV_PARACNTRL
paracentral_right,MR_RV_PARACNTRL
parahippocampal_left,MR_LV_PARAHPCMPL
parahippocampal_right,MR_RV_PARAHPCMPL
parsopercularis_left,MR_LV_PARAOPRCLRS
parsopercularis_right,MR_RV_PARAOPRCLRS
parsorbitalis_left,MR_LV_PARSORBLS
parsorbitalis_right,MR_RV_PARSORBLS
parstriangularis_left,MR_LV_PARSTRNGLRS
parstriangularis_right,MR_RV_PARSTRNGLRS
pericalcarine_left,MR_LV_PERICLCRN
pericalcarine_right,MR_RV_PERICLCRN
postcentral_left,MR_LV_POSTCNTRL
postcentral_right,MR_RV_POSTCNTRL
posteriorcingulate_left,MR_LV_POSTCNG
posteriorcingulate_right,MR_RV_POSTCNG
precentral_left,MR_LV_PRECNTRL
precentral_right,MR_RV_PRECNTRL
precuneus_left,MR_LV_PRECUNEUS
precuneus_right,MR_RV_PRECUNEUS
rostralanteriorcingulate_left,MR_LV_ROSANTCNG
rostralanteriorcingulate_right,MR_RV_ROSANTCNG
rostralmiddlefrontal_left,MR_LV_ROSMIDFRN
rostralmiddlefrontal_right,MR_RV_ROSMIDFRN
superiorfrontal_left,MR_LV_SUPERFRN
superiorfrontal_right,MR_RV_SUPERFRN
superiorparietal_left,MR_LV_SUPERPRTL 
superiorparietal_right,MR_RV_SUPERPRTL 
superiortemporal_left,MR_LV_SUPERTMP 
superiortemporal_right,MR_RV_SUPERTMP 
supramarginal_left,MR_LV_SUPRAMRGNL
supramarginal_right,MR_RV_SUPRAMRGNL
temporalpole_left,MR_LV_TMPPOLE
temporalpole_right,MR_RV_TMPPOLE
transversetemporal_left,MR_LV_TRANSTMP
transversetemporal_right,MR_RV_TRANSTMP