ROI_name,KARI_name
Accumbens_area,TOT_ACCUMBENS
Amygdala,TOT_AMYGDALA
Brain_Stem,TOT_BRAINSTEM
Caudate,TOT_CAUD
CC_Anterior,CRPCLM_ANT
CC_Central,CRPCLM_CNTRL
CC_Mid_Anterior,CRPCLM_MID_ANT
CC_Mid_Posterior,CRPCLM_MID_POST
CC_Posterior,CRPCLM_POST
Cerebellum_Cortex,TOT_CBLL_CORTEX
Cerebellum_White_Matter,TOT_CBLL_WM
choroid_plexus,TOT_CHORPLEX
ctx_bankssts,TOT_CTX_SSTSBANK
ctx_caudalanteriorcingulate,TOT_CTX_CAUDANTCNG
ctx_caudalmiddlefrontal,TOT_CTX_CAUDMIDFRN
ctx_corpuscallosum,TOT_CTX_CRPCLM
ctx_cuneus,TOT_CTX_CUNEUS
ctx_entorhinal,TOT_CTX_ENTORHINAL
ctx_frontalpole,TOT_CTX_FRNPOLE
ctx_fusiform,TOT_CTX_FUSIFORM
ctx_inferiorparietal,TOT_CTX_INFERPRTL
ctx_inferiortemporal,TOT_CTX_INFERTMP
ctx_insula,TOT_CTX_INSULA
ctx_isthmuscingulate,TOT_CTX_ISTHMUSCNG
ctx_lateraloccipital,TOT_CTX_LATOCC
ctx_lateralorbitofrontal,TOT_CTX_LATORBFRN
ctx_lh_bankssts,L_CTX_SSTSBANK
ctx_lh_caudalanteriorcingulate,L_CTX_CAUDANTCNG
ctx_lh_caudalmiddlefrontal,L_CTX_CAUDMIDFRN
ctx_lh_corpuscallosum,L_CTX_CRPCLM
ctx_lh_cuneus,L_CTX_CUNEUS
ctx_lh_entorhinal,L_CTX_ENTORHINAL
ctx_lh_frontalpole,L_CTX_FRNPOLE
ctx_lh_fusiform,L_CTX_FUSIFORM
ctx_lh_inferiorparietal,L_CTX_INFRPRTL
ctx_lh_inferiortemporal,L_CTX_INFRTMP
ctx_lh_insula,L_CTX_INSULA
ctx_lh_isthmuscingulate,L_CTX_ISTHMUSCNG
ctx_lh_lateraloccipital,L_CTX_LATOCC
ctx_lh_lateralorbitofrontal,L_CTX_LATORBFRN
ctx_lh_lingual,L_CTX_LINGUAL
ctx_lh_medialorbitofrontal,L_CTX_MEDORBFRN
ctx_lh_middletemporal,L_CTX_MIDTMP
ctx_lh_paracentral,L_CTX_PARACNTRL
ctx_lh_parahippocampal,L_CTX_PARAHPCMPL
ctx_lh_parsopercularis,L_CTX_PARSOPRCLRS
ctx_lh_parsorbitalis,L_CTX_PARSORBLS
ctx_lh_parstriangularis,L_CTX_PARSTRNGLRS
ctx_lh_pericalcarine,L_CTX_PERICLCRN
ctx_lh_postcentral,L_CTX_POSTCNTRL
ctx_lh_posteriorcingulate,L_CTX_POSTCNG
ctx_lh_precentral,L_CTX_PRECNTRL
ctx_lh_precuneus,L_CTX_PRECUNEUS
ctx_lh_rostralanteriorcingulate,L_CTX_ROSANTCNG
ctx_lh_rostralmiddlefrontal,L_CTX_ROSMIDFRN
ctx_lh_superiorfrontal,L_CTX_SUPERFRN
ctx_lh_superiorparietal,L_CTX_SUPERPRTL
ctx_lh_superiortemporal,L_CTX_SUPERTMP
ctx_lh_supramarginal,L_CTX_SUPRAMRGNL
ctx_lh_temporalpole,L_CTX_TMPPOLE
ctx_lh_transversetemporal,L_CTX_TRANSTMP
ctx_lingual,TOT_CTX_LINGUAL
ctx_medialorbitofrontal,TOT_CTX_MEDORBFRN
ctx_middletemporal,TOT_CTX_MIDTMP
ctx_paracentral,TOT_CTX_PARACNTRL
ctx_parahippocampal,TOT_CTX_PARAHPCMPL
ctx_parsopercularis,TOT_CTX_PARSOPCLRS
ctx_parsorbitalis,TOT_CTX_PARSORBLS
ctx_parstriangularis,TOT_CTX_PARSTRNGLS
ctx_pericalcarine,TOT_CTX_PERICLCRN
ctx_postcentral,TOT_CTX_POSTCNTRL
ctx_posteriorcingulate,TOT_CTX_POSTCNG
ctx_precentral,TOT_CTX_PRECNTRL
ctx_precuneus,TOT_CTX_PRECUNEUS
ctx_rh_bankssts,R_CTX_SSTSBANK
ctx_rh_caudalanteriorcingulate,R_CTX_CAUDANTCNG
ctx_rh_caudalmiddlefrontal,R_CTX_CAUDMIDFRN
ctx_rh_corpuscallosum,R_CTX_CRPCLM
ctx_rh_cuneus,R_CTX_CUNEUS
ctx_rh_entorhinal,R_CTX_ENTORHINAL
ctx_rh_frontalpole,R_CTX_FRNPOLE
ctx_rh_fusiform,R_CTX_FUSIFORM
ctx_rh_inferiorparietal,R_CTX_INFPRTL
ctx_rh_inferiortemporal,R_CTX_INFTMP
ctx_rh_insula,R_CTX_INSULA
ctx_rh_isthmuscingulate,R_CTX_ISTHMUSCNG
ctx_rh_lateraloccipital,R_CTX_LATOCC
ctx_rh_lateralorbitofrontal,R_CTX_LATORBFRN
ctx_rh_lingual,R_CTX_LINGUAL
ctx_rh_medialorbitofrontal,R_CTX_MEDORBFRN
ctx_rh_middletemporal,R_CTX_MIDTMP
ctx_rh_paracentral,R_CTX_PARACNTRL
ctx_rh_parahippocampal,R_CTX_PARAHPCMPL
ctx_rh_parsopercularis,R_CTX_PARSOPRCLRS
ctx_rh_parsorbitalis,R_CTX_PARSORBLS
ctx_rh_parstriangularis,R_CTX_PARSTRNGLRS
ctx_rh_pericalcarine,R_CTX_PERICLCRN
ctx_rh_postcentral,R_CTX_POSTCNTRL
ctx_rh_posteriorcingulate,R_CTX_POSTCNG
ctx_rh_precentral,R_CTX_PRECNTRL
ctx_rh_precuneus,R_CTX_PRECUNEUS
ctx_rh_rostralanteriorcingulate,R_CTX_ROSANTCNG
ctx_rh_rostralmiddlefrontal,R_CTX_ROSMIDFRN
ctx_rh_superiorfrontal,R_CTX_SUPERFRN
ctx_rh_superiorparietal,R_CTX_SUPERPRTL
ctx_rh_superiortemporal,R_CTX_SUPERTMP
ctx_rh_supramarginal,R_CTX_SUPRAMRGNL
ctx_rh_temporalpole,R_CTX_TMPPOLE
ctx_rh_transversetemporal,R_CTX_TRANSTMP
ctx_rostralanteriorcingulate,TOT_CTX_ROSANTCNG
ctx_rostralmiddlefrontal,TOT_CTX_ROSMIDFRN
ctx_superiorfrontal,TOT_CTX_SUPERFRN
ctx_superiorparietal,TOT_CTX_SUPERPRTL
ctx_superiortemporal,TOT_CTX_SUPERTMP
ctx_supramarginal,TOT_CTX_SUPRAMRGNL
ctx_temporalpole,TOT_CTX_TMPPOLE
ctx_transversetemporal,TOT_CTX_TRANSTMP
GR_FS,TOTFS_GYREC
Hippocampus,TOT_HIPPOCAMPUS
Left_Accumbens_area,L_ACCUMBENS
Left_Amygdala,L_AMYGDALA
Left_Caudate,L_CAUD
Left_Cerebellum_Cortex,L_CTX_CBLL
Left_Cerebellum_White_Matter,L_WM_CBLL
Left_choroid_plexus,L_CHORPLEX
Left_Hippocampus,L_HIPPOCAMPUS
Left_Pallidum,L_PALLIDUM
Left_Putamen,L_PUTAMEN
Left_Substancia_Nigra,L_SUBSTNCA_NGRA
Left_Thalamus_Proper,L_THALAMUS
Left_UnsegmentedWhiteMatter,L_WM_UNSEGMENTED
Left_VentralDC,L_VENTRALDC
OCC_FS,TOTFS_OCC
Pallidum,TOT_PALLIDUM
PREF_FS,TOTFS_PREFRN
Putamen,TOT_PUTAMEN
Right_Accumbens_area,R_ACCUMBENS
Right_Amygdala,R_AMYGDALA
Right_Caudate,R_CAUD
Right_Cerebellum_Cortex,R_CTX_CBLL
Right_Cerebellum_White_Matter,R_WM_CBLL
Right_choroid_plexus,R_CHORPLEX
Right_Hippocampus,R_HIPPOCAMPUS
Right_Pallidum,R_PALLIDUM
Right_Putamen,R_PUTAMEN
Right_Substancia_Nigra,R_SUBSTNCA_NGRA
Right_Thalamus_Proper,R_THALAMUS
Right_UnsegmentedWhiteMatter,R_WM_UNSEGMENTED
Right_VentralDC,R_VENTRALDC
Substancia_Nigra,TOT_SUBSTNCA_NGRA
TEMP_FS,TOTFS_TMP
Thalamus_Proper,TOT_THALAMUS_PRPR
UnsegmentedWhiteMatter,TOT_WM_UNSEGMENTED
VentralDC,TOT_VENTRALDC
wm_bankssts,TOT_WM_SSTSBNK
wm_caudalanteriorcingulate,TOT_WM_CAUDANTCNG
wm_caudalmiddlefrontal,TOT_WM_CAUDMIDFRN
wm_corpuscallosum,TOT_WM_CRPCLM
wm_cuneus,TOT_WM_CUNEUS
wm_entorhinal,TOT_WM_ENTORHINAL
wm_frontalpole,TOT_WM_FRNPOLE
wm_fusiform,TOT_WM_FUSIFORM
wm_inferiorparietal,TOT_WM_INFERPRTL
wm_inferiortemporal,TOT_WM_INFERTMP
wm_insula,TOT_WM_INSULA
wm_isthmuscingulate,TOT_WM_ISTHMUSCNG
wm_lateraloccipital,TOT_WM_LATOCC
wm_lateralorbitofrontal,TOT_WM_LATORBFRN
wm_lh_bankssts,L_WM_SSTSBANK
wm_lh_caudalanteriorcingulate,L_WM_CAUDANTCNG
wm_lh_caudalmiddlefrontal,L_WM_CAUDMIDFRN
wm_lh_corpuscallosum,L_WM_CRPCLM
wm_lh_cuneus,L_WM_CUNEUS
wm_lh_entorhinal,L_WM_ENTORHINAL
wm_lh_frontalpole,L_WM_FRNPOLE
wm_lh_fusiform,L_WM_FUSIFORM
wm_lh_inferiorparietal,L_WM_INFPRTL
wm_lh_inferiortemporal,L_WM_INFTMP
wm_lh_insula,L_WM_INSULA
wm_lh_isthmuscingulate,L_WM_ISTHMUSCNG
wm_lh_lateraloccipital,L_WM_LATOCC
wm_lh_lateralorbitofrontal,L_WM_LATORBFRN
wm_lh_lingual,L_WM_LINGUAL
wm_lh_medialorbitofrontal,L_WM_MEDORBFRN
wm_lh_middletemporal,L_WM_MIDTMP
wm_lh_paracentral,L_WM_PARACNTRL
wm_lh_parahippocampal,L_WM_PARAHPCMPL
wm_lh_parsopercularis,L_WM_PARSOPRCLRS
wm_lh_parsorbitalis,L_WM_PARSORBLS
wm_lh_parstriangularis,L_WM_PARSTRIANGLRS
wm_lh_pericalcarine,L_WM_PERICLCRN
wm_lh_postcentral,L_WM_POSTCNTRL
wm_lh_posteriorcingulate,L_WM_POSTCNG
wm_lh_precentral,L_WM_PRECNTRL
wm_lh_precuneus,L_WM_PRECUNEUS
wm_lh_rostralanteriorcingulate,L_WM_ROSANTCNG
wm_lh_rostralmiddlefrontal,L_WM_ROSMIDFRN
wm_lh_superiorfrontal,L_WM_SUPERFRN
wm_lh_superiorparietal,L_WM_SUPERPRTL
wm_lh_superiortemporal,L_WM_SUPERTMP
wm_lh_supramarginal,L_WM_SUPRAMRGNL
wm_lh_temporalpole,L_WM_TMPPOLE
wm_lh_transversetemporal,L_WM_TRANSTMP
wm_lingual,TOT_WM_LINGUAL
wm_medialorbitofrontal,TOT_WM_MEDORBFRN
wm_middletemporal,TOT_WM_MIDTMP
wm_paracentral,TOT_WM_PARACNTRL
wm_parahippocampal,TOT_WM_PARAHPCMPL
wm_parsopercularis,TOT_WM_PARSOPRCLRS
wm_parsorbitalis,TOT_WM_PARSORBLS
wm_parstriangularis,TOT_WM_PARSTRNGLRS
wm_pericalcarine,TOT_WM_PERICLCRN
wm_postcentral,TOT_WM_POSTCNTRL
wm_posteriorcingulate,TOT_WM_POSTCNG
wm_precentral,TOT_WM_PRECNTRL
wm_precuneus,TOT_WM_PRECUNEUS
wm_rh_bankssts,R_WM_SSTSBANK
wm_rh_caudalanteriorcingulate,R_WM_CAUDANTCNG
wm_rh_caudalmiddlefrontal,R_WM_CAUDMIDFRN
wm_rh_corpuscallosum,R_WM_CRPCLM
wm_rh_cuneus,R_WM_CUNEUS
wm_rh_entorhinal,R_WM_ENTORHINAL
wm_rh_frontalpole,R_WM_FRNPOLE
wm_rh_fusiform,R_WM_FUSIFORM
wm_rh_inferiorparietal,R_WM_INFERIORPRTL
wm_rh_inferiortemporal,R_WM_INFERIORTMP
wm_rh_insula,R_WM_INSULA
wm_rh_isthmuscingulate,R_WM_ISTHMUSCNG
wm_rh_lateraloccipital,R_WM_LATOCC
wm_rh_lateralorbitofrontal,R_WM_LATORBFRN
wm_rh_lingual,R_WM_LINGUAL
wm_rh_medialorbitofrontal,R_WM_MEDORBFRN
wm_rh_middletemporal,R_WM_MIDTMP
wm_rh_paracentral,R_WM_PARACNTRL
wm_rh_parahippocampal,R_WM_PARAHPCMPL
wm_rh_parsopercularis,R_WM_PARSOPRCLRS
wm_rh_parsorbitalis,R_WM_PARSORBLS
wm_rh_parstriangularis,R_WM_PARSTRNGLRS
wm_rh_pericalcarine,R_WM_PERICLCRN
wm_rh_postcentral,R_WM_POSTCNTRL
wm_rh_posteriorcingulate,R_WM_POSTCNG
wm_rh_precentral,R_WM_PRECNTRL
wm_rh_precuneus,R_WM_PRECUNEUS
wm_rh_rostralanteriorcingulate,R_WM_ROSANTCNG
wm_rh_rostralmiddlefrontal,R_WM_ROSMIDFRN
wm_rh_superiorfrontal,R_WM_SUPERFRN
wm_rh_superiorparietal,R_WM_SUPERPRTL
wm_rh_superiortemporal,R_WM_SUPERTMP
wm_rh_supramarginal,R_WM_SUPRAMRGNL
wm_rh_temporalpole,R_WM_TMPPOLE
wm_rh_transversetemporal,R_WM_TRANSTMP
wm_rostralanteriorcingulate,TOT_WM_ROSANTCNG
wm_rostralmiddlefrontal,TOT_WM_ROSMIDFRN
wm_superiorfrontal,TOT_WM_SUPERFRN
wm_superiorparietal,TOT_WM_SUPERPRTL
wm_superiortemporal,TOT_WM_SUPERTMP
wm_supramarginal,TOT_WM_SUPRAMRGNL
wm_temporalpole,TOT_WM_TMPPOLE
wm_transversetemporal,TOT_WM_TRANSTMP
MCBP,TOT_CORTMEAN